Source,Target,BDeu,TSource,TTarget
AT2G28550,AT1G57560,-9.88751059812843,RAP2.7,MYB50
AT3G50330,AT1G73500,-9.88751059812843,AT3G50330,MKK9
AT2G28550,AT2G32560,-9.88751059812843,RAP2.7,AT2G32560
AT1G42990,AT4G17500,-9.88751059812843,AT1G42990,AT4G17500
AT1G42990,AT4G18205,-9.88751059812843,AT1G42990,AT4G18205
AT3G50330,AT4G21870,-9.88751059812843,AT3G50330,AT4G21870
AT2G28550,AT5G57123,-9.88751059812843,RAP2.7,AT5G57123
AT3G50330,AT1G04140,-9.88751059812843,AT3G50330,AT1G04140
AT3G50330,AT1G29510,-9.88751059812843,AT3G50330,AT1G29510
AT1G42990,AT1G36940,-9.88751059812843,AT1G42990,AT1G36940
AT3G50330,AT2G27080,-9.88751059812843,AT3G50330,AT2G27080
AT3G50330,AT2G43290,-9.88751059812843,AT3G50330,AT2G43290
AT2G28550,AT3G06868,-9.88751059812843,RAP2.7,AT3G06868
AT1G42990,AT3G19380,-9.88751059812843,AT1G42990,AT3G19380
AT3G50330,AT3G49880,-9.88751059812843,AT3G50330,AT3G49880
AT3G50330,AT3G57650,-9.88751059812843,AT3G50330,AT3G57650
AT3G50330,AT4G02230,-9.88751059812843,AT3G50330,AT4G02230
AT3G50330,AT4G25260,-9.88751059812843,AT3G50330,AT4G25260
AT1G42990,AT4G31550,-9.88751059812843,AT1G42990,AT4G31550
AT2G28550,AT5G08330,-9.88751059812843,RAP2.7,AT5G08330
AT3G50330,AT5G11760,-9.88751059812843,AT3G50330,AT5G11760
AT1G42990,AT5G18080,-9.88751059812843,AT1G42990,AT5G18080
AT3G50330,AT5G19810,-9.88751059812843,AT3G50330,AT5G19810
AT2G28550,AT5G47610,-9.88751059812843,RAP2.7,AT5G47610
AT2G28550,AT5G57685,-9.88751059812843,RAP2.7,AT5G57685
AT2G28550,AT5G58070,-9.88751059812843,RAP2.7,AT5G58070
AT3G50330,AT5G60570,-9.88751059812843,AT3G50330,AT5G60570
AT2G28550,AT1G07720,-29.6625317941544,RAP2.7,AT1G07720
AT2G46970,AT1G07720,-29.6625317941544,AT2G46970,AT1G07720
AT2G28550,AT1G43580,-29.6625317941544,RAP2.7,AT1G43580
AT2G46970,AT1G43580,-29.6625317941544,AT2G46970,AT1G43580
AT2G28550,AT1G76240,-29.6625317941544,RAP2.7,AT1G76240
AT2G46970,AT1G76240,-29.6625317941544,AT2G46970,AT1G76240
AT2G28550,AT1G76490,-29.6625317941544,RAP2.7,HMG1
AT2G46970,AT1G76490,-29.6625317941544,AT2G46970,HMG1
AT3G10040,AT3G19580,-29.6625317941544,AT3G10040,AT3G19580
AT2G28550,AT3G19580,-29.6625317941544,RAP2.7,AT3G19580
AT5G23280,AT3G23170,-29.6625317941544,AT5G23280,AT3G23170
AT2G46970,AT3G23170,-29.6625317941544,AT2G46970,AT3G23170
AT1G68840,AT3G50130,-29.6625317941544,AT1G68840,AT3G50130
AT2G28550,AT3G50130,-29.6625317941544,RAP2.7,AT3G50130
AT2G28550,AT3G60220,-29.6625317941544,RAP2.7,AT3G60220
AT2G46970,AT3G60220,-29.6625317941544,AT2G46970,AT3G60220
AT2G28550,AT3G62410,-29.6625317941544,RAP2.7,AT3G62410
AT2G46970,AT3G62410,-29.6625317941544,AT2G46970,AT3G62410
AT2G28550,AT4G18197,-29.6625317941544,RAP2.7,AT4G18197
AT2G46970,AT4G18197,-29.6625317941544,AT2G46970,AT4G18197
AT2G28550,AT4G22233,-29.6625317941544,RAP2.7,AT4G22233
AT2G46970,AT4G22233,-29.6625317941544,AT2G46970,AT4G22233
AT2G28550,AT5G20270,-29.6625317941544,RAP2.7,AT5G20270
AT2G46970,AT5G20270,-29.6625317941544,AT2G46970,AT5G20270
AT2G28550,AT5G65660,-29.6625317941544,RAP2.7,AT5G65660
AT2G46970,AT5G65660,-29.6625317941544,AT2G46970,AT5G65660
AT5G23280,AT1G32170,-29.6625317941544,AT5G23280,XTH30
AT5G60850,AT1G32170,-29.6625317941544,AT5G60850,XTH30
AT1G42990,AT1G06980,-29.6625317941544,AT1G42990,AT1G06980
AT3G50330,AT1G06980,-29.6625317941544,AT3G50330,AT1G06980
AT1G42990,AT1G12500,-29.6625317941544,AT1G42990,AT1G12500
AT3G50330,AT1G12500,-29.6625317941544,AT3G50330,AT1G12500
AT2G28550,AT1G29440,-29.6625317941544,RAP2.7,AT1G29440
AT3G50330,AT1G29440,-29.6625317941544,AT3G50330,AT1G29440
AT1G42990,AT1G32690,-29.6625317941544,AT1G42990,AT1G32690
AT3G50330,AT1G32690,-29.6625317941544,AT3G50330,AT1G32690
AT1G42990,AT1G46554,-29.6625317941544,AT1G42990,AT1G46554
AT3G50330,AT1G46554,-29.6625317941544,AT3G50330,AT1G46554
AT1G42990,AT1G63690,-29.6625317941544,AT1G42990,AT1G63690
AT3G50330,AT1G63690,-29.6625317941544,AT3G50330,AT1G63690
AT1G42990,AT1G67365,-29.6625317941544,AT1G42990,AT1G67365
AT3G50330,AT1G67365,-29.6625317941544,AT3G50330,AT1G67365
AT1G42990,AT1G67920,-29.6625317941544,AT1G42990,AT1G67920
AT3G50330,AT1G67920,-29.6625317941544,AT3G50330,AT1G67920
AT1G42990,AT1G70300,-29.6625317941544,AT1G42990,AT1G70300
AT3G50330,AT1G70300,-29.6625317941544,AT3G50330,AT1G70300
AT1G42990,AT1G70370,-29.6625317941544,AT1G42990,AT1G70370
AT3G50330,AT1G70370,-29.6625317941544,AT3G50330,AT1G70370
AT2G28550,AT1G74420,-29.6625317941544,RAP2.7,AT1G74420
AT3G50330,AT1G74420,-29.6625317941544,AT3G50330,AT1G74420
AT2G28550,AT2G02680,-29.6625317941544,RAP2.7,AT2G02680
AT3G50330,AT2G02680,-29.6625317941544,AT3G50330,AT2G02680
AT1G42990,AT2G16500,-29.6625317941544,AT1G42990,AT2G16500
AT3G50330,AT2G16500,-29.6625317941544,AT3G50330,AT2G16500
AT2G28550,AT2G25200,-29.6625317941544,RAP2.7,AT2G25200
AT3G50330,AT2G25200,-29.6625317941544,AT3G50330,AT2G25200
AT1G42990,AT2G38500,-29.6625317941544,AT1G42990,AT2G38500
AT3G50330,AT2G38500,-29.6625317941544,AT3G50330,AT2G38500
AT2G28550,AT2G42580,-29.6625317941544,RAP2.7,AT2G42580
AT3G50330,AT2G42580,-29.6625317941544,AT3G50330,AT2G42580
AT1G42990,AT3G03820,-29.6625317941544,AT1G42990,AT3G03820
AT3G50330,AT3G03820,-29.6625317941544,AT3G50330,AT3G03820
AT1G42990,AT3G03830,-29.6625317941544,AT1G42990,AT3G03830
AT3G50330,AT3G03830,-29.6625317941544,AT3G50330,AT3G03830
AT1G42990,AT3G03840,-29.6625317941544,AT1G42990,AT3G03840
AT3G50330,AT3G03840,-29.6625317941544,AT3G50330,AT3G03840
AT1G42990,AT3G06750,-29.6625317941544,AT1G42990,AT3G06750
AT3G50330,AT3G06750,-29.6625317941544,AT3G50330,AT3G06750
AT1G42990,AT3G12580,-29.6625317941544,AT1G42990,HSP70
AT3G50330,AT3G12580,-29.6625317941544,AT3G50330,HSP70
AT1G42990,AT3G49220,-29.6625317941544,AT1G42990,AT3G49220
AT3G50330,AT3G49220,-29.6625317941544,AT3G50330,AT3G49220
AT1G42990,AT4G03820,-29.6625317941544,AT1G42990,AT4G03820
AT3G50330,AT4G03820,-29.6625317941544,AT3G50330,AT4G03820
AT1G42990,AT4G11140,-29.6625317941544,AT1G42990,CRF1
AT3G50330,AT4G11140,-29.6625317941544,AT3G50330,CRF1
AT1G42990,AT4G35470,-29.6625317941544,AT1G42990,AT4G35470
AT3G50330,AT4G35470,-29.6625317941544,AT3G50330,AT4G35470
AT1G42990,AT5G02180,-29.6625317941544,AT1G42990,AT5G02180
AT3G50330,AT5G02180,-29.6625317941544,AT3G50330,AT5G02180
AT1G42990,AT5G06390,-29.6625317941544,AT1G42990,AT5G06390
AT3G50330,AT5G06390,-29.6625317941544,AT3G50330,AT5G06390
AT1G42990,AT5G13700,-29.6625317941544,AT1G42990,AT5G13700
AT3G50330,AT5G13700,-29.6625317941544,AT3G50330,AT5G13700
AT2G28550,AT5G18010,-29.6625317941544,RAP2.7,AT5G18010
AT3G50330,AT5G18010,-29.6625317941544,AT3G50330,AT5G18010
AT1G42990,AT5G18050,-29.6625317941544,AT1G42990,AT5G18050
AT3G50330,AT5G18050,-29.6625317941544,AT3G50330,AT5G18050
AT1G42990,AT5G40250,-29.6625317941544,AT1G42990,AT5G40250
AT3G50330,AT5G40250,-29.6625317941544,AT3G50330,AT5G40250
AT1G42990,AT5G47640,-29.6625317941544,AT1G42990,AT5G47640
AT3G50330,AT5G47640,-29.6625317941544,AT3G50330,AT5G47640
AT5G23280,AT5G63130,-29.6625317941544,AT5G23280,AT5G63130
AT2G28550,AT5G63130,-29.6625317941544,RAP2.7,AT5G63130
AT5G23280,AT5G61570,-29.6625317941544,AT5G23280,AT5G61570
AT3G50330,AT5G61570,-29.6625317941544,AT3G50330,AT5G61570
AT3G50330,AT1G01270,-37.4777097195377,AT3G50330,AT1G01270
AT3G50330,AT1G03130,-37.4777097195377,AT3G50330,AT1G03130
AT3G50330,AT1G74490,-37.4777097195377,AT3G50330,AT1G74490
AT3G50330,AT1G75760,-37.4777097195377,AT3G50330,AT1G75760
AT3G50330,AT2G40900,-37.4777097195377,AT3G50330,AT2G40900
AT3G50330,AT2G42810,-37.4777097195377,AT3G50330,AT2G42810
AT3G50330,AT3G06740,-37.4777097195377,AT3G50330,AT3G06740
AT3G50330,AT3G09070,-37.4777097195377,AT3G50330,AT3G09070
AT3G50330,AT3G61630,-37.4777097195377,AT3G50330,AT3G61630
AT3G50330,AT4G00840,-37.4777097195377,AT3G50330,AT4G00840
AT3G50330,AT4G37540,-37.4777097195377,AT3G50330,AT4G37540
AT3G50330,AT5G43603,-37.4777097195377,AT3G50330,AT5G43603
AT1G42990,AT1G76560,-40.9116969239906,AT1G42990,AT1G76560
AT3G50330,AT1G76892,-40.9116969239906,AT3G50330,AT1G76892
AT1G42990,AT2G46535,-40.9116969239906,AT1G42990,AT2G46535
AT1G42990,AT3G27500,-40.9116969239906,AT1G42990,AT3G27500
AT1G42990,AT4G14830,-40.9116969239906,AT1G42990,AT4G14830
AT3G50330,AT5G22940,-40.9116969239906,AT3G50330,AT5G22940
AT1G42990,AT3G10020,-43.6197471250773,AT1G42990,AT3G10020
